2018-07-01 00:00:00,0.0,300.0
2018-07-01 00:30:00,0.5,300.0
2018-07-01 01:00:00,1.0,200.0
2018-07-01 01:30:00,1.5,200.0
2018-07-01 02:00:00,2.0,200.0
2018-07-01 02:30:00,2.5,200.0
2018-07-01 03:00:00,3.0,100.0
2018-07-01 03:30:00,3.5,200.0
2018-07-01 04:00:00,4.0,200.0
2018-07-01 04:30:00,4.5,300.0
2018-07-01 05:00:00,5.0,100.0
2018-07-01 05:30:00,5.5,300.0
2018-07-01 06:00:00,6.0,200.0
2018-07-01 06:30:00,6.5,300.0
2018-07-01 07:00:00,7.0,200.0
2018-07-01 07:30:00,7.5,300.0
2018-07-01 08:00:00,8.0,300.0
2018-07-01 08:30:00,8.5,600.0
2018-07-01 09:00:00,9.0,500.0
2018-07-01 09:30:00,9.5,1200.0
2018-07-01 10:00:00,10.0,800.0
2018-07-01 10:30:00,10.5,400.0
2018-07-01 11:00:00,11.0,400.0
2018-07-01 11:30:00,11.5,300.0
2018-07-01 12:00:00,12.0,300.0
2018-07-01 12:30:00,12.5,200.0
2018-07-01 13:00:00,13.0,300.0
2018-07-01 13:30:00,13.5,200.0
2018-07-01 14:00:00,14.0,200.0
2018-07-01 14:30:00,14.5,100.0
2018-07-01 15:00:00,15.0,200.0
2018-07-01 15:30:00,15.5,100.0
2018-07-01 16:00:00,16.0,100.0
2018-07-01 16:30:00,16.5,200.0
2018-07-01 17:00:00,17.0,100.0
2018-07-01 17:30:00,17.5,100.0
2018-07-01 18:00:00,18.0,200.0
2018-07-01 18:30:00,18.5,200.0
2018-07-01 19:00:00,19.0,600.0
2018-07-01 19:30:00,19.5,1000.0
2018-07-01 20:00:00,20.0,900.0
2018-07-01 20:30:00,20.5,600.0
2018-07-01 21:00:00,21.0,500.0
2018-07-01 21:30:00,21.5,500.0
2018-07-01 22:00:00,22.0,700.0
2018-07-01 22:30:00,22.5,700.0
2018-07-01 23:00:00,23.0,400.0
2018-07-01 23:30:00,23.5,500.0
2018-07-02 00:00:00,0.0,600.0
2018-07-02 00:30:00,0.5,300.0
2018-07-02 01:00:00,1.0,200.0
2018-07-02 01:30:00,1.5,200.0
2018-07-02 02:00:00,2.0,200.0
2018-07-02 02:30:00,2.5,100.0
2018-07-02 03:00:00,3.0,300.0
2018-07-02 03:30:00,3.5,100.0
2018-07-02 04:00:00,4.0,200.0
2018-07-02 04:30:00,4.5,100.0
2018-07-02 05:00:00,5.0,200.0
2018-07-02 05:30:00,5.5,200.0
